"Sex" "Sport" "Years" "Cig" "PC" "City" "Weight" "Age" "Height"
"1" "M" "Nunca" 25 10 2.57917010238911 "BARCELONA" 65 49 171
"2" "F" "Nunca" 18 32 1.5570436932541 "TERRASSA" 65 35 166
"3" "M" "Algunas veces" 25 14 2.76216877363087 "BLANES" 70 55 176
"4" "M" "Nunca" 0 0 3.48707480481952 "SANT BOI DE LLOBREGAT" 72 55 178
"5" "F" "Todos los días" 0 0 4.07515447427575 "BARCELONA" 64 42 165
"6" "M" "Nunca" 0 0 3.39701288553318 "TERRASSA" 71 44 177
"7" "M" "Nunca" 0 1 3.56809742342914 "BARCELONA" 72 45 178
"8" "M" "Nunca" 5 12 3.06803421561928 "BARCELONA" 73 35 179
"9" "M" "Nunca" 0 5 3.74719007204417 "BARCELONA" 69 35 175
"10" "F" "Algunas veces" 45 7 2.46509948086292 "SITGES" 65 63 166
"11" "M" "Algunas veces" 0 0 4.14217090190705 "SOLSONA" 72 32 178
"12" "M" "Regularmente" 23 18 2.61104728072071 "SITGES" 70 48 176
"13" "M" "Nunca" 0 0 3.60604925973793 "TERRASSA" 65 47 171
"14" "F" "Regularmente" 4 15 2.90113142052949 "BARCELONA" 60 33 161
"15" "F" "Todos los días" 0 5 4.07311005561473 "GIRONA" 66 48 167
"16" "M" "Regularmente" 28 26 2.64614520341675 "TOSSA" 66 48 172
"17" "M" "Nunca" 25 27 2.33307002458982 "TERRASSA" 70 47 176
"18" "F" "Regularmente" 42 14 2.54115935009075 "SITGES" 63 66 164
"19" "M" "Nunca" 0 0 3.54310358421188 "PINEDA DE MAR" 74 58 180
"20" "M" "Nunca" 27 17 1.89718734439006 "BARCELONA" 72 53 178
"21" "M" "Nunca" 36 9 2.26911415597005 "BARCELONA" 76 57 182
"22" "F" "Regularmente" 0 0 3.75718695215587 "BARCELONA" 63 42 164
"23" "M" "Algunas veces" 0 0 3.82309866418289 "BARCELONA" 64 62 170
"24" "F" "Algunas veces" 0 0 3.69803483632053 "TARRAGONA" 65 52 166
"25" "F" "Nunca" 0 0 3.48410812073015 "BARCELONA" 62 49 163
