Año y periodo	Identificador Estudiante	Programa de estudio	Fecha Nacimiento	Sexo	Ciudad Nacimiento	Dpto Nacimiento	Fecha de Grado	Id colegio	Colegio	Ciudad de colegio	Fecha presentión ICFES	Biología	Química	Física	Matemáticas	Filosofía	Historia	Lenguaje	Sociales	Idioma	Interdiciplinar
2014-1	1	Programa A	07/02/1980	MASCULINO	Bogota	BOGOTA DC															
2014-1	1	Programa A	07/02/1980	MASCULINO	Bogota	BOGOTA DC															
2014-1	1	Programa A	07/02/1980	MASCULINO	Bogota	BOGOTA DC															
2014-1	1	Programa A	07/02/1980	MASCULINO	Bogota	BOGOTA DC															
2014-1	1	Programa A	07/02/1980	MASCULINO	Bogota	BOGOTA DC															
2014-1	1	Programa A	07/02/1980	MASCULINO	Bogota	BOGOTA DC															
2014-1	1	Programa A	07/02/1980	MASCULINO	Bogota	BOGOTA DC															
2014-1	1	Programa A	07/02/1980	MASCULINO	Bogota	BOGOTA DC	NO	999999	Validación ICFES	BOGOTÁ D.C.	1999-2	43	50	50	53	50	50	51	50	51	51
2014-1	2	Programa A	01/07/1995	MASCULINO	QUIBDO	CHOCO															
2014-1	2	Programa A	01/07/1995	MASCULINO	QUIBDO	CHOCO															
2014-1	2	Programa A	01/07/1995	MASCULINO	QUIBDO	CHOCO															
2014-1	2	Programa A	01/07/1995	MASCULINO	QUIBDO	CHOCO															
2014-1	2	Programa A	01/07/1995	MASCULINO	QUIBDO	CHOCO															
2014-1	2	Programa A	01/07/1995	MASCULINO	QUIBDO	CHOCO															
2014-1	2	Programa A	01/07/1995	MASCULINO	QUIBDO	CHOCO															
2014-1	2	Programa A	01/07/1995	MASCULINO	QUIBDO	CHOCO	NO	999999	Validación ICFES	BOGOTÁ D.C.	2013-2	47	59	59	59	43	53	62	53	51	6
2014-1	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-1	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-1	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-1	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-1	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-1	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-1	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-1	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-2	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-2	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-2	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-2	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-2	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-2	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-2	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC															
2014-2	3	Programa A	10/03/1996	FEMENINO	Bogota	BOGOTA DC	NO	311848000588	COLEGIO DEL SANTO ANGEL	BOGOTÁ D.C.	2013-2	43	56	59	52	58	51	58	51	60	45
2014-1	4	Programa A	19/03/1996	FEMENINO	0	0															
2014-1	4	Programa A	19/03/1996	FEMENINO	0	0															
